date,daily_records
2025-12-08,4032
2025-12-09,2394
2025-12-10,3066
2025-12-11,3612
2025-12-12,4032
2025-12-13,3990
2025-12-14,4032
2025-12-15,4032
2025-12-16,4022
2025-12-17,3990
2025-12-18,4032
2025-12-19,4032
2025-12-20,3999
2025-12-21,4032
2025-12-22,4032
2025-12-23,4032
2025-12-24,4032
2025-12-25,4032
2025-12-26,4032
2025-12-27,4032
2025-12-28,4032
2025-12-29,4032
2025-12-30,4032
2025-12-31,3696
2026-01-01,2772
2026-01-02,2047
2026-01-03,2161
2026-01-04,3654
2026-01-05,3359
2026-01-06,3136
2026-01-07,3215
2026-01-08,3024
2026-01-09,3234
2026-01-10,3066
2026-01-11,3003
2026-01-12,2574
2026-01-13,2600
2026-01-14,2368
2026-01-15,2351
2026-01-16,2024
2026-01-17,4032
2026-01-18,2078
2026-01-19,2058
2026-01-20,2016
2026-01-21,2100
2026-01-22,2016
2026-01-23,2310
2026-01-24,2436
2026-01-25,2015
2026-01-26,2184
2026-01-27,4032
2026-01-28,2268
2026-01-29,2268
2026-01-30,2600
2026-01-31,2800
2026-02-01,2646
2026-02-02,2706
2026-02-03,2528
2026-02-04,2676
2026-02-05,2856
2026-02-06,2730
2026-02-07,2646
2026-02-08,2982
2026-02-09,2898
2026-02-10,4032
2026-02-11,4032
2026-02-12,1848
2026-02-13,4032
2026-02-14,3215
2026-02-15,3024
2026-02-16,4032
2026-02-17,2730
2026-02-18,4032
2026-02-19,4032
2026-02-20,4032
2026-02-21,2982
2026-02-22,4032
2026-02-23,2706
2026-02-24,2267
2026-02-25,3654
2026-02-26,4032
2026-02-27,4032
2026-02-28,4032
