date,observed_slots,segment_rows,mean_segments_per_slot,mean_speed_kmh,mean_jam_factor,expected_slots_full_day,slot_coverage_full_day,note
2025-12-08,18,6142,341.22222222222223,12.537009145406147,1.1149359564328438,48,0.375,partial_or_missing
2025-12-09,29,9889,341.0,12.538285974314896,1.0436040044493882,48,0.6041666666666666,partial_or_missing
2025-12-10,36,12282,341.1666666666667,12.604164481537596,1.0369993254632504,48,0.75,partial_or_missing
2025-12-11,44,14963,340.0681818181818,13.022402827884049,0.854818575660493,48,0.9166666666666666,partial_or_missing
2025-12-12,48,16377,341.1875,12.900302751221027,0.9464934716310021,48,1.0,complete_48_slots
2025-12-13,48,16072,334.8333333333333,13.20331687932972,0.8158070697066876,48,1.0,complete_48_slots
2025-12-14,48,16370,341.0416666666667,13.264567718426484,0.685755582137161,48,1.0,complete_48_slots
2025-12-15,48,16374,341.125,13.007540391479369,0.8886547576007401,48,1.0,complete_48_slots
2025-12-16,48,16374,341.125,12.951989699025795,0.922025644201656,48,1.0,complete_48_slots
2025-12-17,47,15723,334.531914893617,13.060483846904702,0.9210904365718416,48,0.9791666666666666,partial_or_missing
2025-12-18,48,16375,341.1458333333333,12.886985404685923,0.9540173745549296,48,1.0,complete_48_slots
2025-12-19,48,16065,334.6875,12.862852536230465,1.0384348667451617,48,1.0,complete_48_slots
2025-12-20,48,16369,341.0208333333333,12.876060366683246,0.9550822314829106,48,1.0,complete_48_slots
2025-12-21,48,16368,341.0,13.073421309872922,0.7972140762463343,48,1.0,complete_48_slots
2025-12-22,47,16030,341.06382978723406,12.98961518234805,0.8932627552721149,48,0.9791666666666666,partial_or_missing
2025-12-23,48,16372,341.0833333333333,12.943811141265513,0.9019433511687333,48,1.0,complete_48_slots
2025-12-24,48,16372,341.0833333333333,13.033632587190525,0.8479698298777246,48,1.0,complete_48_slots
2025-12-25,48,16369,341.0208333333333,13.350903508414651,0.621973859277552,48,1.0,complete_48_slots
2025-12-26,48,16368,341.0,13.192133431085045,0.7104166666666667,48,1.0,complete_48_slots
2025-12-27,48,16370,341.0416666666667,13.083514533064088,0.7824352037637267,48,1.0,complete_48_slots
2025-12-28,48,16368,341.0,13.2236846285435,0.6853005865102638,48,1.0,complete_48_slots
2025-12-29,48,16373,341.1041666666667,13.179722750996097,0.7546330773781963,48,1.0,complete_48_slots
2025-12-30,48,16371,341.0625,13.101993861578434,0.8049655260871305,48,1.0,complete_48_slots
2025-12-31,48,16372,341.0833333333333,12.821871898812688,0.9582986236158986,48,1.0,complete_48_slots
2026-01-01,48,16368,341.0,13.073347385141739,0.7643084066471163,48,1.0,complete_48_slots
2026-01-02,47,16032,341.1063829787234,12.970476088048786,0.8916808514287111,48,0.9791666666666666,partial_or_missing
2026-01-03,48,16368,341.0,12.997487170087977,0.8623594819159335,48,1.0,complete_48_slots
2026-01-04,48,16369,341.0208333333333,13.229546058348054,0.7009738192622318,48,1.0,complete_48_slots
2026-01-05,48,16375,341.1458333333333,13.05197892371651,0.8556407846146811,48,1.0,complete_48_slots
2026-01-06,48,16381,341.2708333333333,12.999538673273646,0.8933018948704042,48,1.0,complete_48_slots
2026-01-07,48,16376,341.1666666666667,13.017521278318897,0.8671882717863477,48,1.0,complete_48_slots
2026-01-08,48,16386,341.375,12.77594831173154,1.0181750922671569,48,1.0,complete_48_slots
2026-01-09,47,16033,341.1276595744681,12.85010297335354,0.9855675526842619,48,0.9791666666666666,partial_or_missing
2026-01-10,48,16371,341.0625,12.920529066722947,0.9365087173149957,48,1.0,complete_48_slots
2026-01-11,48,15471,322.3125,13.651161354326677,0.7100214413722479,48,1.0,complete_48_slots
2026-01-12,48,16084,335.0833333333333,13.072227255974711,0.9615630955893334,48,1.0,complete_48_slots
2026-01-13,48,16083,335.0625,13.125518835003836,0.894195903507641,48,1.0,complete_48_slots
2026-01-14,29,9901,341.41379310344826,13.094911925498193,0.9001567140451501,48,0.6041666666666666,partial_or_missing
