designed_point_id,designed_lat,designed_lon,active_flag,active_point_id,here_block,note
T001,1.4516388,110.1477638,1,A001,Block 3,active
T002,1.4586127,110.1235377,1,A002,Block 3,active
T003,1.4663591,110.1707118,1,A003,Block 3,active
T004,1.4765525,110.1858841,1,A004,Block 3,active
T005,1.4773043,109.9795256,1,A005,Block 2,active
T006,1.4776586,109.9979118,1,A006,Block 2,active
T007,1.4805996,110.0161518,1,A007,Block 2,active
T008,1.4813200,110.1100909,1,A008,Block 3,active
T009,1.4826915,110.2031678,1,A009,Block 3,active
T010,1.4848171,110.0844230,1,A010,Block 2,active
T011,1.4848985,110.0672545,1,A011,Block 2,active
T012,1.4849095,109.9618145,1,A012,Block 2,active
T013,1.4865760,110.2297698,1,A013,Block 3,active
T014,1.4866436,110.0333780,1,A014,Block 2,active
T015,1.4873710,110.0590137,1,A015,Block 2,active
T016,1.4914849,109.9426472,1,A016,Block 2,active
T017,1.4974106,110.2443218,1,A017,Block 3,active
T018,1.5031119,109.9193616,1,A018,Block 2,active
T019,1.5036311,110.2616483,1,A019,Block 3,active
T020,1.5084213,110.2868545,1,A020,Block 3,active
T021,1.5112300,109.9161086,1,A021,Block 2,active
T022,1.5115854,110.3058731,1,A022,Block 3,active
T023,1.5172023,110.3233483,1,A023,Block 3,active
T024,1.5208512,110.3347315,1,A024,Block 3,active
T025,1.5295464,109.9178467,1,A025,Block 2,active
T026,1.5362900,109.9126218,1,A026,Block 2,active
T027,1.5567281,109.9006688,1,A027,Block 2,active
T028,1.5596337,109.8921453,1,A028,Block 2,active
T029,1.5689673,109.8906170,1,A029,Block 2,active
T030,1.5778976,109.8924009,1,A030,Block 2,active
T031,1.5969046,109.8931244,1,A031,Block 2,active
T032,1.6050427,109.8906981,1,A032,Block 2,active
T033,1.6141425,109.8871575,1,A033,Block 2,active
T034,1.6329790,109.8876464,1,A034,Block 2,active
T035,1.6379685,109.8794674,1,A035,Block 2,active
T036,1.6494519,109.8677619,1,A036,Block 1,active
T037,1.6498103,109.8585321,1,A037,Block 1,active
T038,1.6526017,109.8406921,1,A038,Block 1,active
T039,1.6561428,109.8166032,1,A039,Block 1,active
T040,1.6751775,109.7987819,1,A040,Block 1,active
T041,1.6975445,109.7838185,1,A041,Block 1,active
T042,1.7152344,109.7793587,1,A042,Block 1,active
T043,1.7314417,109.7716076,0,,Block 1,planned only
T044,1.7463695,109.7643438,0,,Block 1,planned only
T045,1.7536202,109.7581804,0,,Block 1,planned only
T046,1.7615420,109.7530299,0,,Block 1,planned only
T047,1.7709010,109.7486723,0,,Block 1,planned only
T048,1.7873096,109.7447799,0,,Block 1,planned only
T049,1.7997398,109.7588702,0,,Block 1,planned only
T050,1.8139109,109.7579051,0,,Block 1,planned only
T051,1.8194398,109.7540246,0,,Block 1,planned only
